[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
1945             572.57     28.39      0          0          0         
1950             580.96     33.9       0          0          0         
19521            586.31     29.45      0          0          0         
19523            586.31     29.45      0          0          0         
20000            578.76     21         0          0          0         
20001            576.76     23         0          0          0         
2002             568.06     36.7       0          0          0         
2003             568.06     36.7       0          0          0         
2005             564.24     23.62      0          0          0         
200505           574.09     12.27      0          0          0         
200510           574.93     9.93       0          0          0         
200515           575.8      14.16      0          0          0         
200520           575.91     16.95      0          0          0         
200565           569.27     26.19      0          0          0         
;CDM Rev 3/2012 invert
20100            567.96     20.6       0          0          0         
20103            568.81     21.65      0          0          0         
20104            568.81     21.65      0          0          0         
2020             569.24     26.52      0          0          0         
2030             570.08     28.28      0          0          0         
2035             573.12     29.14      0          0          0         
2045             573.96     34.3       0          0          0         
2050             579.96     32.1       0          0          0         
